"","Level 11 :","Personal Oversight","Fellowship","Level 26 :","Coercion","Fellowship","Level 46 :","Prepare for an assault!","Persuasion / Lore Imperium","","","Hot Shot Las Pistol","Quick Firing Las Pistol","Beggar's Weapon","Quick-firing laspistol","","","Level 11 :","Reckless Strike","Weapon Personalisation","Level 26 :","Athletics","Toughness","Level 46 :","Contempt","Coercion","","","Sol Pattern Chainsword","Epiphany","Epiphany","Auto-Striking Power Sword","","","Level 11 :","Concentrated Fire","Coercion","Level 26 :","Coercion","Perception","Level 46 :","Demolition Engineer","Demolition","","","Foehammer","Ryza-Pattern Foehammer","Bloody Vigil","Bone-Shatterer","","","Level 11 :","Ballistic Calculations","Lore Imperium","Level 26 :","Coercion","Intelligence","Level 46 :","Passive Learning","Lore Imperium","","","The Ripper","Procyon B Plasma Pistol","Procyon B Plasma Pistol","Procyon B Plasma Pistol","","","Level 11 :","Controlled Shot","Coercion","Level 26 :","Lore Imperium","Intelligence","Level 46 :","Camraderie","Lore Imperium","","","","","","","","","Level 11 :","Dash","Awareness","Level 26 :","Awareness","Agility","Level 46 :","Fortress","Coercion","","","Foehammer","Quick Firing Las Pistol","Quick Firing Las Pistol","Quick-firing laspistol","","","Level 11 :","Personal Oversight","Intelligence","Level 26 :","Coercion","Intelligence","Level 46 :","Prepare for an assault!","Lore Imperium","","","Hot Shot Las Pistol","Quick Firing Las Pistol","Beggar's Weapon","Quick-firing laspistol","","","","","","","","","","","","","","","","","",""
"","Level 12 :","Air of Authority","Characteristic Training: PER","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Seize the Initiative","Persuasion / Lore Imperium","","Weapon Set 2","Modified Lasgun","Hunting Rifle","Sharpshooter Rifle","Anti-Vehicle Revolver","","","Level 12 :","Toughness","Coercion","Level 27 :","Steady Superiority IV","","Level 47 :","Living Shield","Medicae","","Weapon Set 2","","","","","","","Level 12 :","Perception","Motivation","Level 27 :","Steady Superiority IV","","Level 47 :","Muzzle Velocity","Demolition","","Weapon Set 2","Modified Lasgun","Hot Shot Lasgun / Hot Shot Laspistol","Mezoa-Pattern Lasgun / Begger's Weapon","Necrontech Hot Shot Lasgun / Anti-Vehicle Revolver","","","Level 12 :","Joint Analysis","Plasma Weapon Prof","Level 27 :","Wild Hunt II","","Level 47 :","Sharpshooter","Medicae","","Weapon Set 2","Longlas","Heavy Plasma Gun","The Glow of Dead Stars","Ancient Plasma Rifle","","","Level 12 :","Perception","Staggering Jolt","Level 27 :","Orchestrated Firestorm II","","Level 47 :","Enough Bullets for Everyone","Coercion","","Weapon Set 2","Ripper Autopistol","Hot Shot Laspistol","Beggar's Weapon","Beggar's Weapon","","","Level 12 :","Perception","Motivation","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Integrity","Coercion","","Weapon Set 2","Modified Lasgun","Hot Shot Lasgun","Mezoa-Pattern Lasgun","Necrontech Hot Shot Lasgun","","","Level 12 :","Air of Authority","Characteristic Training: PER","Level 27 :","Orchestrated Firestorm III","","Level 47 :","Seize the Initiative","Lore Imperium","","Weapon Set 2","Modified Lasgun","Hunting Rifle","Sharpshooter Rifle","Anti-Vehicle Revolver","","","","","","","","","","","","","","","","","",""
"","Level 13 :","Inspiring Speech","Commerce","Level 28 :","Against All Odds","","Level 48 :","Brink of Death","Fellowship","","","","","","Beggar's Weapon","","","Level 13 :","Open Engagement","Coercion","Level 28 :","Coercion","Armsmaster","Level 48 :","Exploit Weakness","Toughness","","","","","","","","","Level 13 :","Swift Slaughter","Doing My Part","Level 28 :","Awareness","Adaptability","Level 48 :","Distract","Perception","","","","/ Quick-Firing Laspistol","/ Quick-Firing Laspistol","/ Quick-Firing Laspistol","","","Level 13 :","Fresh Target","Perception","Level 28 :","Expert Finesse","","Level 48 :","Pierce and Ruin","Intelligence","","","","","","","","","Level 13 :","Swift Slaughter","Overclocking Module","Level 28 :","Personal Involvement","","Level 48 :","Support the Advance","Agility","","","Foehammer","Quick-Firing Laspistol","Quick-Firing Laspistol","Quick-Firing Laspistol","","","Level 13 :","Fired Up","Summary Execution","Level 28 :","Against All Odds","","Level 48 :","Brink of Death","Agility","","","","","","","","","Level 13 :","Inspiring Speech","Commerce","Level 28 :","Against All Odds","","Level 48 :","Brink of Death","Intelligence","","","","","","Beggar's Weapon","","","","","","","","","","","","","","","","","",""
"","Level 14 :","Perception","Let them know Fear!","Level 29 :","Commerce / Lore Imperium","Agility","Level 49 :","Perception","Persuasion / Lore Imperium","","","","","","","","","Level 14 :","Toughness","Summary Execution","Level 29 :","Strength","Characteristic Training: Per","Level 49 :","Fellowship","Medicae","","","","","","","","","Level 14 :","Summary Execution","Awareness","Level 29 :","Perception","For the Emperor!","Level 49 :","Agility","Demolition","","","","","","","","","Level 14 :","Perception","External Power Block","Level 29 :","Lore Imperium","Perception","Level 49 :","Perception","Medicae","","","","","","","","","Level 14 :","Residual Charge","Demolition","Level 29 :","Coercion","Perception","Level 49 :","Intelligence","Coercion","","","","","","","","","Level 14 :","For the Emperor!","Awareness","Level 29 :","Coercion","Perception","Level 49 :","Fellowship","Medicae","","","","","","","","","Level 14 :","Perception","Let them know Fear!","Level 29 :","Lore Imperium","Agility","Level 49 :","Perception","Lore Imperium","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 15 :","Finest Hour I","","Level 30 :","Comradery / Grenadier","Fervour","Level 50 :","Eager for Battle / Deadly Aim","Be Vigilant","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Daring Breach IV","","Level 30 :","Devastating Attack","","Level 50 :","Extermination","Desolation","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Firearm Mastery III","","Level 30 :","Devastating Attack","","Level 50 :","Eager for battle","Integrity / Alacrity","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Dismantling II","","Level 30 :","Motivation","Piercing Shot","Level 50 :","Eager for Battle","Weak Body, Weak Soul","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Firearm Mastery III","","Level 30 :","Let them know fear!","Fervour","Level 50 :","Know-It-All","Integrity / Alacrity","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Firearm Mastery I","","Level 30 :","One for the enemy, two for the traitors","Fervour","Level 50 :","Vital Points","Second Skin","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","Level 15 :","Finest Hour I","","Level 30 :","Grenadier","Fervour","Level 50 :","Eager for Battle / Deadly Aim","Be Vigilant","","Optical Insertion","Somatic Insertion","Cortical Insertion","Sinistral Insertion","Dextral Insertion","Musculoskeletal Insertion","","","","","","","","","","","","","","","","",""
"","","","","Level 31 :","Support the advance","","Level 51 :","Ally coordination","Persuasion","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Telemetric Logis Analyser","","","","Act 2","","","","Level 31 :","Breaking Attack","","Level 51 :","Contempt for the Weak","Medicae","","Focal Emitter MKI","Weapon Optimiser MKI","","","","","Act 2","","","","Level 31 :","Breaking Attack","","Level 51 :","Preferred targets","Demolition","","Focal Emitter MK Soldier","Weapon Optimiser MKI","","","","","Act 2","","","","Level 31 :","Inspiring Trophy","","Level 51 :","Cut to the Chase","Medicae","","Focal Emitter MK Soldier","Weapon Optimiser MKI","Telemetric Logis Analyser MKI","","","","Act 2","","","","Level 31 :","Stacking the Deck","","Level 51 :","Motivation","Lore Xenos","","Focal Emitter MK Soldier","Weapon Optimiser MKI","","","Hand of Righteous","","Act 2","","","","Level 31 :","Support the advance","","Level 51 :","Ally coordination","Medicae","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","","","","","","","","","Level 31 :","Support the advance","","Level 51 :","Ally coordination","Persuasion","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Crebral Inverter MK-I","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 32 :","Agility","Commerce / Lore Imperium","Level 52 :","In the Hero's Footsteps","Motive-Force Overload","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Telemetric Logis Analyser","","","","Act 3","","","","Level 32 :","Perception","Coercion","Level 52 :","Preferred Targets","Motive-Force Overload","","Focal Emitter MKI","Weapon Optimiser MKI","","","","","Act 3","","","","Level 32 :","Perception","Awareness","Level 52 :","Accustomed to Glory","High Resistance","","Focal Emitter MK Soldier","Weapon Optimiser MKI","","","","","Act 3","","","","Level 32 :","Perception","Lore Imperium","Level 52 :","Combat Insight","Motive-Force Overload","","Focal Emitter MK Soldier","Weapon Optimiser MKI","Telemetric Logis Analyser MKI","","","","Act 3","","","","Level 32 :","Perception","Coercion","Level 52 :","Logistical Superiority","Residual Power","","Focal Emitter MK Soldier","","Cerebral Inverter MK Tactician","","Hand of Righteous","","Act 3","","","","Level 32 :","Perception","Coercion","Level 52 :","In the Hero's Footsteps","Residual Power","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Cerebral Inverter","","","","","","","","Level 32 :","Agility","Lore Imperium","Level 52 :","In the Hero's Footsteps","Motive-Force Overload","","Focal Emitter MK Soldier","Weapon Optimiser MK-I","Crebral Inverter MK Tactician","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 33 :","Personal Involvement","","Level 53 :","Assign Objective","Perception","","Focal Emitter MK Soldier","Weapon Optimiser MK-II","Telemetric Logis-Analyser MK 'Officer'","Suppression Manipulator","Galvanic Inductor MK Tactician","Phase Oscillator MK Tactician","Act 4","","","","Level 33 :","Adaptability","Perception","Level 53 :","Break Through","Fellowship","","Focal Emitter MKII","Weapon Optimiser MKII","","","","","Act 4","","","","Level 33 :","Critical Versatility","Fellowship","Level 53 :","Controlled Shot","Agility","","Focal Emitter MK Soldier","Weapon Optimiser MKII","","","","","Act 4","","","","Level 33 :","Withdraw","","Level 53 :","Precise Attack","Perception","","Focal Emitter MK Soldier","Weapon Optimiser MKII","Telemetric Logis Analyser MKII","","","","Act 4","","","","Level 33 :","Dawn of Victory","","Level 53 :","Assign Objective","Intelligence","","Focal Emitter MK Soldier","Weapon Optimiser MKII","Cerebral Inverter MK Tactician","","Hand of Righteous","Phase Oscillator MK Tactician","Act 4","","","","Level 33 :","Personal Involvement","","Level 53 :","Entrench","Fellowship","","Focal Emitter MK Soldier","Weapon Optimiser MK-II","Cerebral Inverter","","","","","","","","Level 33 :","Personal Involvement","","Level 53 :","Assign Objective","Perception","","Focal Emitter MK Soldier","Weapon Optimiser MK-II","Crebral Inverter MK Tactician","","","Phase Oscillator MK Tactician","","","","","","","","","","","","","","","","",""
"","","","","Level 34 :","Perception","Motivation","Level 54 :","Extermination","Primary Objective","","","","","","","","Act 5","","","","Level 34 :","Perception","Motivation","Level 54 :","Eager for battle","Blade Flurry","","","","","","","","Act 5","","","","Level 34 :","Fellowship","Grenadier","Level 54 :","Vital Points","Camaraderie","","","","","","","","Act 5","","","","Level 34 :","Lethal Precision","","Level 54 :","Deadly Aim","Insightful Percision","","","","","","","","Act 5","","","","Level 34 :","Perception","Summary Execution","Level 54 :","Vital Points","Primary Objective","","","","","","","","Act 5","","","","Level 34 :","Perception","Dual-Weapon Combat","Level 54 :","Eager for Battle","Camaraderie","","","","","","","","","","","","Level 34 :","Perception","Motivation","Level 54 :","Extermination","Primary Objective","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Steady Superiority II","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Wild Hunt III","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm III","","Level 55 :","AP +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","Ap +1","","","","","","","","","","","","","Level 35 :","Orchestrated Firestorm II","","Level 55 :","Ap +1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Company Commander","","","","","","","","","","Skill Options","","","","","","","Trench Strategist ","","","","","","","","","","Skill Options","","","","","","","Gunslinger Commander","","","","","","","","","","Skill Options","","","","","","","From the front","","","","","","","","","","Skill Options","","","","","","","Imperial Guard Tactician","","","","","","","","","","Skill Options","","","","","","","Commander of Blades ","","","","","","","","","","Skill Options","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Fortress World - Astra Militarum Commander - Soldier - Ballistic Skill +2 / Agility +2 / Perception +1 / Willpower +1","","","","","","","","","","Demolitions / Awareness","","","","","","","Imperial World (Fellowship) - Astra Militarum Commander - Officer - Ballistic Skill +2 / Perception +2 / Fellowship +2","","","","","","","","","","Fellowship / Lore Imperium (chartist Pendant)","","","","","","","Imperial World (Agility) - Astra Militarum Commander - Soldier - Ballistic Skill +2 / Agility +2 / Perception +2 (Can drop Dash and DWC to go concentrated fire and build for shotguns / flamers - drop imperial talents for las exp)","","","","","","","","","","Demolition / Awareness","","","","","","","Imperial World (Agility) - Astra Militarum Commander - Officer - Ballistic Skill +2 / Perception +2 / Fellowship +2","","","","","","","","","","Commerce / Persuasion / Coercion / Lore Imperium (Chartist Pendant)","","","","","","","Imperial World (Agility) - Astra Militarum Commander - Officer - Ballistic Skill +2 / Perception +2 / Fellowship +2","","","","","","","","","","Commerce / Persuasion / Coercion / Lore Imperium (Chartist Pendant)","","","","","","","Voidborn - Sanctioned Psyker (Sanctic) - Bladedancer - WS +2 / Agi +2 / Per +2","","","","","","","","","","Medicae / Demolitions / Awareness / Athletics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Soldier","","","Arch-Militant","","","Exemplar","","","","","","","","","","","Officer","","","Grand Strategist","","","Exemplar","","","","","","","","","","","Soldier","","","Bounty Hunter","","","Exemplar","","","","","","","","","","","Officer","","","Master Tactician","","","Exemplar","","","","","","","","","","","Soldier","","","Master Tactician","","","Exemplar","","","","","","","","","","","Blade Dancer","","","Master Tactician","","","Exemplar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 1 :","Run and Gun","","Level 16 :","Versatility","","Level 36 :","Degraded Defence","Rack and Ruin","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Voice Of Command","","Level 16 :","Combat Tactics","","Level 36 :","Firebrand","Seize the Initiative","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Hunt Down The Prey","","Level 36 :","Deadly Aim","Rack and Ruin","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Voice Of Command","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Firebrand","leader's assault","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Run and Gun","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Degraded Defence","Rack and Ruin","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","Level 1 :","Blade Dance","","Level 16 :","Tactical Advantage","Press The Advantage","Level 36 :","Peak Condition","Dance Partners","","Gear to consider","Act 1","Act 2","Act 3","Act 4","Act 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 2 :","Medicae","","Level 17 :","Reckless Rush","","Level 37 :","Awareness","Exploit Weakness","","Helm","Pinpoint Visor","Gunslinger Helm","Gunslinger Helm","Gunslinger Helm","","","Level 2 :","Persuasion / Commerce","","Level 17 :","Combat Locus Stratagem","","Level 37 :","Medicae","Sniping Zone","","Helm","Ancient Terra Monocle","Commander's Monocle","Commander's Monocle","Commander's Monocle","","","Level 2 :","Medicae","","Level 17 :","Claim the Bounty","","Level 37 :","Awareness","Withdraw","","Helm","Pinpointing Visor","Gunslinger's Helm","Gunslinger's Helm","Gunslinger's Helm","","","Level 2 :","Commerce","","Level 17 :","Linchpin","","Level 37 :","Persuasion","Stacking the Deck","","Helm","Ancient Terra Monocle","Helm of Determination","Commissar Cap","Commissar Cap","","","Level 2 :","Medicae","","Level 17 :","Linchpin","","Level 37 :","Awareness","Dawn of Victory","","Helm","Pinpoint Visor","Gunslinger's Helm","Commissar Cap / Gunslinger's Helm","Commissar Cap / Gunslinger's Helm","","","Level 2 :","Medicae","","Level 17 :","Linchpin","","Level 37 :","Awareness","Brink of Death","","Helm","Face of the Sovereign","Face of the Sovereign / Peripheral Visor","Peripheral Visor","Peripheral Visor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 3 :","Revel in Slaughter","","Level 18 :","Always Ready","","Level 38 :","Ballistic Skill","Fix Bayonets!","","Armour","Death World Light Flak Armour","Death World Enforcers light carapace","Death World Enforcers light carapace","Hive World Origin Voidsmen Armour","","","Level 3 :","Bring it Down !","","Level 18 :","Improvised Strategy","","Level 38 :","Fellowship","Calculated Resolve","","Armour","Death World Light Flak Armour","Breacher Armour","Breacher Armour","Hive World Origin Voidsmen Armour","","","Level 3 :","Revel in Slaughter","","Level 18 :","Hunting Surge","","Level 38 :","Ballistic Skill","Know No Heresy","","Armour","Death World Light Flak Armour","Death World Enforcer's light carapace","Death World Enforcer's light carapace","Death World Enforcer's light carapace","","","Level 3 :","Bring it Down !","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Calculated Resolve","","Armour","Death World Light Flak Armour","Breacher Armour","Breacher Armour","Warrior Armour","","","Level 3 :","Revel in Slaughter","","Level 18 :","Reliance","","Level 38 :","Ballistic Skill","Grenadier","","Armour","Death World Light Flak Armour","Death World Enforcer's Light Carapace","Death World Enforcer's Light Carapace","Hive World Origin Voidsmen Armour","","","Level 3 :","Death From Above","","Level 18 :","Reliance","","Level 38 :","Weapon Skill","Power Armour Proficiency","","Armour","Light Spinner's breastplate","Spinner's Breastplate / Armour of Hidden Promise","Spinner's Breastplate / Armour of Hidden Promise","High Spinner Armour / Adherent of Mankind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 4 :","Firearm Mastery","Muzzle Velocity / Point-Blank","Level 19 :","Steady Superiority","","Level 39 :","Entrench","Awareness","","Cloak","Camouflage Robe","Tactical Backpack","Tactical Backpack","Tempestus Carapace Elite Backpack","","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Take and Hold","","Level 39 :","Take Aim!","Persuasion / Commerce","","Cloak","Commander Cloak","Tactical Backpack","Tactical Backpack","Tempestus Carapace Elite Backpack","","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Wild Hunt","","Level 39 :","Entrench","Demolition","","Cloak","Camouflage Robe","Tactical Backpack","Tactical Backpack","Tepestus Elite Carapace Backpack","","","Level 4 :","Finest Hour","Lasting Impression","Level 19 :","Orchestrated Firestorm","","Level 39 :","Break Their Ranks!","Persuasion","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus Elite Carapce Backpack","","","Level 4 :","Firearm Mastery","Muzzle Velocity","Level 19 :","Orchestrated Firestorm","","Level 39 :","Controlled Shot","Awareness","","Cloak","Von Valancius Cloak","Tactical Backpack","Tactical Backpack","Tempestus elite carapace backpack","","","Level 4 :","Death Waltz","Death Warden","Level 19 :","Orchestrated Firestorm","","Level 39 :","Captive Audience","Awareness","","Cloak","Reaper Cape","Bladedancer's Mantle / Malpian Shroud","Bladedancer's Mantle / Malpian Shroud","High Spinner's Cloak / Bladedancer's Mantle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Deadly Aim","Distract","","Neck","","Focus Incense","Dog Tags ","Dog Tags ","","","Level 5 :","Ballistic Skill","Ready to Serve","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Eager Subordinates","Personal Zone","","Neck","Medal of alacrity","Medal of alacrity / Chartist Pendant","Medal of alacrity / Chartist Pendant","Medal of alacrity / Chartist Pendant","","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","AP +1 - Ballistic Skill","Dual-Weapon Combat","Level 40 :","Degraded Defence","Flay the Bold","","Neck","","Dog tags","Dog tags","Dog tags","","","Level 5 :","Ballistic Skill","Ready to Serve","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Degraded Defence","Undisputed Advantage","","Neck","Medal of Alacrity","Chartist Pendant / Medal of Alacrity","Chartist Pendant / Medal of Alacrity","Chartist Pendant / Medal of Alacrity","","","Level 5 :","Ballistic Skill","Rapid Reload","Level 20 :","Ap +1","Ballistic Skill","Level 40 :","Deadly Aim","Stacking the Deck","","Neck","","Dog Tags","Dog Tags","Onslaught Amulet","","","Level 5 :","Field of Fire","Weapon Skill","Level 20 :","Ap +1","Weapon Skill","Level 40 :","Destroyer","Hidden Advantage","","Neck","","Dog Tags / Invigorating Resolve","Dog Tags / Invigorating Resolve","Onslaught Amulet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","All Out","Ballistic Skill","Level 41 :","Ballistic Skill","Camraderie","","Accessory 1","Book of war prayers","Enemy Finder","Enemy Finder","Echo of Victory","","","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Blurred Locus","Ballistic Skill","Level 41 :","Fellowship","Steady!","","Accessory 1","","Saint Cognacius Scriptures","Commander's Notes","Commander's Notes","","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Ballistic Skill","Heightened Concentration","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Accessory 1","","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Decisive Response","Ballistic Skill","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","Steel Resolve","","Accessory 1","","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Ballistic Skill","Rapid Fire","Level 21 :","Ballistic Skill","Joint Offensive","Level 41 :","Ballistic Skill","Enough Bullets for Everyone","","Accessory 1","","Pair Holster","Pair Holster","Pair Holster","","","Level 6 :","Blood Oath","Medicae","Level 21 :","Weapon Skill","Joint Offensive","Level 41 :","Weapon Skill","Grand Performance","","Accessory 1","Blooddrinker","Peculiar Trinket","Iron Cape","Iron Cape / Commander's Chrono","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 7 :","Agility","Trench Warefare","Level 22 :","Wilfire","Familiar Kickback","Level 42 :","Kick","Agility","","Accessory 2","","Book of war prayers","Iron Cape","Bead of Might","","","Level 7 :","Move Move Move","Trench Warfare","Level 22 :","Blitz Stratagem","","Level 42 :","Killzone Stratagem","Ballistic Skill","","Accessory 2","","Black Ring of the inquisition","Black Ring of the inquisition","Black Ring of the inquisition","","","Level 7 :","Agility","Trench Warfare","Level 22 :","Cull the bold","","Level 42 :","Piercing Shot","Agility","","Accessory 2","","Enemy Finder","Enemy Finder","Enemy Finder","","","Level 7 :","Move, Move, Move","Trench Warfare","Level 22 :","Inspire","","Level 42 :","Finish the Job","Fellowship","","Accessory 2","","Saint Cognacius Scriptures","Saint Cognacius Scriptures","Saint Cognacius Scriptures","","","Level 7 :","Agility","Trench Warfare","Level 22 :","Inspire","","Level 42 :","Finish the Job","Agility","","Accessory 2","","Enemy Finder","Enemy Finder","Commander's Chrono / Bead of Might","","","Level 7 :","Weapon Skill","Blood Rush","Level 22 :","Inspire","","Level 42 :","Finish the Job","Agility","","Accessory 2","Book of War Prayers","Heart of the Nameless","Seal of the Purifier","Seal of the Purifier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 8 :","Unfaltering Fire","Awareness","Level 23 :","Demolition","Flash Fire","Level 43 :","Ingenious","Calculated Resolve","","Gloves","Thrice-Pioneer's Bracers","Marksman Bracers","Gloves of Rapid Desolation","Compensator Gloves","","","Level 8 :","Focus!","Persuasion / Commerce","Level 23 :","Persuasion / Commerce","Fire at Will","Level 43 :","Inescapable Zone","Residual Power","","Gloves","Noble Silk Gloves","Thrice Pioneer's Bracers","Gloves of Rapid Desolation","Gloves of Rapid Desolation","","","Level 8 :","Unfaltering Fire","Demolition","Level 23 :","Cut to the Chase","Demolition","Level 43 :","Pierce and Ruin","Calculated Resolve","","Gloves","Stabilising Bracers","Recoil Gloves","Gloves of rapid desolation","Gloves of rapid desolation","","","Level 8 :","Focus!","Persuasion","Level 23 :","Unwavering Motivation","Persuasion","Level 43 :","Brink of Death","Residual Power","","Gloves","","Marksman Bracers","Gloves of Rapid Desolation","Gloves of Rapid Desolation","","","Level 8 :","Unfaltering Fire","Coercion","Level 23 :","Unwavering Motivation","Awareness","Level 43 :","Undisputed Advantage","Calculated Resolve","","Gloves","Thrice-Pioneer's Bracers","Deflection Gloves / Recoil Gloves","Gloves of Rapid Desolation","Gloves of Rapid Desolation / Compensator Gloves","","","Level 8 :","Awareness","Bloody Mess","Level 23 :","Unwavering Motivation","Medicae","Level 43 :","Undesputed Advantage","Calculated Resolve","","Gloves","","Augmented Gloves","Augmented Gloves","Augmented Gloves","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Unflinching Heroism","Level 44 :","Demolition","Vital Points","","Boots","Warmonger Boots","Breezecatcher boots","Recoil War boots","Caligae of Saint Keefe","","","Level 9 :","Finest Hour IV","","Level 24 :","Fellowship","Field of Fire","Level 44 :","Persuasion / Commerce","Degraded Defence","","Boots","","Adrenaline Warboots","Adrenaline Warboots","Adrenaline Warboots","","","Level 9 :","Firearm Mastery I","","Level 24 :","Agility","Better to Die for the Emperor","Level 44 :","Awareness","Extermination","","Boots","Warmonger Boots","Warmonger Boots","Sharpshooter's Boots","Recoil Warboots","","","Level 9 :","Finest Hour IV","","Level 24 :","Fellowship","Field of Fire","Level 44 :","Medicae","Eager Subordinates","","Boots","Warmongers Boots","Commissar Boots","Commissar Boots","Commissar Boots","","","Level 9 :","Firearm Mastery II","","Level 24 :","Agility","Doing My Part","Level 44 :","Coercion","Extermination","","Boots","Warmonger Boots","Warmonger Boots","Recoil Warboots","Recoil Warboots / Caligae of Saint Keefe","","","Level 9 :","Death Waltz II","","Level 24 :","Agility","Characteristic Training: Per","Level 44 :","Medicae","Extermination","","Boots","Skirmisher Boots","Inertia Boots","Inertia Boots / Fencing Boots","Inertia Boots / Fencing Boots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
